,id,matches
133,38396,"63276,63286,63287,63288,63308,63309,63310,63344,63345,63361,63362,63363,63372,63373,63374,63388,63389,63390,63396,63397,63398,63399,63400,63401,63402,63415,63416,63417,63421,63422,63423,63435,63436,63457,63458,63459,63460,63473,63474,63475,63477,63478,63479,63493,63494,63495,63501,63502,63517,63523,63524,63525,63530,63531,63532,63537,63538,63539,63549,63550,63551,63571,63573"
134,36306,"63276,63277,63278,63288,63343,63344,63345,63346,63372,63374,63389,63390,63402,63416,63417,63422,63423,63435,63436,63437,63457,63458,63459,63460,63473,63474,63475,63477,63478,63479,63493,63494,63495,63501,63502,63523,63524,63530,63531,63532,63533"
135,37703,"63261,63276,63277,63390"
136,38745,"63259,63260"
137,38246,"63234,63286,63287,63288,63372,63373,63374,63388,63389,63390,63396,63397,63398,63415,63416,63417,63421,63422,63423"
138,36951,"63214,63215,63216,63232,63233,63234,63259,63260,63261,63276,63277,63278,63286,63287,63288,63308,63309,63310,63340,63341,63343,63344,63345,63346,63361,63362,63363,63388,63389,63390,63415,63416,63417,63421,63422,63423,63435,63436,63437"
139,36304,"63214,63215,63216,63232,63276,63398"
140,38757,"63203,63204,63205,63214,63216,63232,63233,63234,63259,63260,63261,63276,63277,63278,63286,63287,63288,63308,63309,63310,63340,63341,63343,63344,63345,63361,63362,63363,63372,63373,63374,63388,63389,63390,63396,63397,63398,63399,63400,63401,63402,63415,63416,63417,63422,63423,63435,63436,63437,63457,63458,63459,63473,63474,63475,63477,63478,63479,63493,63494,63495,63501,63502,63517,63523,63524,63525,63530,63531,63532,63533,63549,63550,63551,63571,63572,63573,63595,63596,63601,63602,63603"
141,36303,"63203,63204,63205,63214,63215,63216,63232,63233,63234,63259,63260,63261,63362,63363,63372,63373,63374,63388,63389,63390,63396,63397,63399,63400,63401,63416,63457,63458,63479,63502"
142,36952,"63182,63183,63205,63214,63215,63286,63287,63288"
143,38617,"63172,63233,63234,63259,63260,63261,63277,63278,63286,63287,63309,63310,63402,63421,63422"
144,38114,"63170,63171,63172"
145,38122,"63168,63169,63171,63172,63173,63183"
146,37605,"63168,63169,63170,63171,63172,63173,63182,63203,63204,63232,63233,63234,63259,63260,63261,63277,63278,63340,63341,63343,63346"
147,36180,"63168,63169,63170,63203,63204,63205,63214,63215,63216"
148,38253,"63157,63158,63169,63170,63171,63172,63173"
149,37254,"63144,63145,63168,63169,63172,63173,63182,63183,63203,63204,63205,63214,63215,63216,63232,63233,63234,63259,63260,63261,63276,63278,63286,63287,63288,63308,63309,63310,63340,63341,63343,63344,63345,63346,63361,63362,63363,63372,63373,63374,63396,63397,63398,63399,63400,63401,63402"
150,36603,"63144,63182,63183,63204,63308,63340,63341,63343,63344,63345,63361,63362,63363,63373,63374,63388,63396,63397,63398,63399,63400,63401,63402,63415,63417,63421,63422,63423,63437,63457,63458,63459,63460,63473,63475,63477,63478,63479,63493,63494,63495,63501,63502"
151,36595,"63116,63145,63158,63169,63170,63171,63173,63183,63205,63214,63215,63232,63233,63234,63259,63260,63261,63276,63277,63278,63286,63287,63288,63308,63309,63310,63340,63341,63343,63344,63345,63346,63361,63362,63363,63372,63373,63396,63397,63398,63399,63400,63417"
152,36609,"63115,63116,63122,63123,63232,63233,63234,63259,63260,63261,63277,63278,63286,63287,63288,63308,63309,63310,63340,63341,63343,63344,63345,63346,63361,63362,63363,63372,63373,63374,63388,63389,63390,63396,63397,63398,63399,63400,63401,63402,63415,63416,63417,63421,63422,63423,63435,63436,63437,63457,63458,63459"
153,37731,"63114,63115,63116,63122,63123,63124,63144,63145,63156,63157,63158,63168,63170,63173,63308,63309,63310"
154,36183,"63114,63115"
155,38244,63099
156,38064,"63098,63114,63115,63116,63156,63168,63169,63170,63171,63172,63173"
157,38113,"63097,63108,63109,63110,63114,63115,63116,63122,63123,63124,63144,63145,63156,63157,63158,63168,63169,63170,63171,63172,63173,63182,63183,63203,63204,63205,63215,63216,63232,63233,63259,63260,63261,63276,63277,63278"
158,37224,"63097,63108,63114,63115,63116,63123,63124,63157,63158,63168,63169,63170,63171,63172,63173,63182,63183,63203,63204,63205,63214,63215,63216,63232,63233,63234,63259,63260,63261,63276,63277,63278,63286,63287,63288,63308,63309,63310,63340,63341,63343,63344,63345,63346,63361,63362,63363,63372,63373,63374,63396,63397,63398,63399,63400,63401,63402,63415,63416,63417,63421,63422,63423,63435,63436,63437,63457,63458,63459,63460,63473,63474,63475,63477,63493,63494,63495,63501,63502,63523,63524,63525,63530,63531,63532,63533"
159,38744,"63072,63079,63122"
