player,matches
16274,"63718,63715,63713,63714,63717,63666,63667,63637,63638,63639,63640,63641,63609,63610,63599,63600,63598,63578,63579,63577,63576,63571,63572,63560,63561,63562,63575,63605,63534,63535,63533,63543"
9269,63716
18458,"63715,63713"
22361,63689
22328,"63689,63687,63688,63704"
13324,"63689,63686,63703"
20263,"63687,63704,63686,63703,63685,63700,63701,63702,63684,63648,63646,63647,63612,63613,63611,63637,63638,63639,63640,63641,63609,63610,63599,63600,63598,63578,63579,63577,63576,63571,63572,63573,63561,63562,63559,63557,63558,63575,63605,63544,63545,63546,63547,63536,63534,63535,63533,63543,63526,63527,63528,63529,63531,63532,63512,63511,63510,63489,63507,63508,63488,63487"
12514,"63687,63613,63600,63605,63509,63510,63489,63508,63486,63477,63478,63484,63485,63470,63471,63472,63476,63479,63461,63446,63444,63445,63447,63448,63436,63437,63465,63434,63433,63462,63464,63425,63428,63426,63427,63407,63408,63405,63403,63404,63406,63432,63307,63294,63293,63283,63285,63284,63282,63271,63298,63301,63303,63262,63268,63269,63270,63290,63216,63222,63223,63224,63225,63292"
15383,"63688,63686,63703,63685,63700,63702,63684,63560,63559"
15388,"63703,63702,63612,63613,63611"
